Player,Nation,Nation_code,Pos,Pos_group,Age,Playing Time 90s,weighted_score_norm2,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes xG,Per 90 Minutes npxG,Per 90 Minutes xAG,PrgC_p90,PrgP_p90,PrgR_p90,CrdY_p90,CrdR_p90
Brais Méndez,es ESP,ESP,"MF,FW",FWD,26.0,26.8,23.489104477611942,0.19,0.22,0.16,0.16,0.16,1.6791044776119401,4.776119402985074,4.514925373134329,0.26119402985074625,0.0
Romelu Lukaku,be BEL,BEL,FW,FWD,30.0,29.3,23.459112627986347,0.44,0.1,0.33,0.31,0.08,1.2627986348122866,1.2627986348122866,7.986348122866894,0.1706484641638225,0.034129692832764506
Giovanni González,uy URU,URU,DF,DEF,28.0,27.4,23.45167883211679,0.04,0.04,0.02,0.02,0.05,1.0218978102189782,3.321167883211679,3.467153284671533,0.21897810218978103,0.0
Luke Shaw,eng ENG,ENG,DF,DEF,28.0,10.7,23.451028037383182,0.0,0.0,0.0,0.0,0.09,0.9345794392523366,4.205607476635515,2.8037383177570097,0.5607476635514019,0.0
Jordan Clark,eng ENG,ENG,MF,MID,29.0,14.5,23.44965517241379,0.07,0.07,0.07,0.07,0.09,1.4482758620689655,3.5172413793103448,2.689655172413793,0.27586206896551724,0.0
Justin Kluivert,nl NED,NED,"MF,FW",FWD,24.0,21.3,23.407605633802817,0.33,0.05,0.29,0.29,0.09,3.051643192488263,2.347417840375587,5.352112676056338,0.2347417840375587,0.0
Matthieu Udol,fr FRA,FRA,DF,DEF,27.0,30.0,23.383333333333333,0.1,0.1,0.05,0.05,0.1,1.5333333333333334,3.2666666666666666,2.8666666666666667,0.16666666666666666,0.0
Eren Dinkçi,de GER,GER,"FW,MF",FWD,21.0,29.4,23.362517006802722,0.34,0.17,0.15,0.15,0.13,2.8911564625850343,3.0272108843537415,4.863945578231292,0.272108843537415,0.0
Kevin Behrens,de GER,GER,FW,FWD,32.0,14.0,23.35142857142857,0.29,0.0,0.43,0.43,0.06,0.7857142857142857,3.2142857142857144,6.642857142857143,0.21428571428571427,0.0
Rafael Borré,co COL,COL,FW,FWD,27.0,11.0,23.332727272727272,0.36,0.0,0.22,0.22,0.16,1.4545454545454546,2.5454545454545454,6.636363636363637,0.0,0.0
Sergio Arribas,es ESP,ESP,"MF,FW",FWD,21.0,22.7,23.328370044052864,0.4,0.18,0.38,0.38,0.16,2.4669603524229076,3.5682819383259914,4.140969162995595,0.04405286343612335,0.0
Sander Berge,no NOR,NOR,MF,MID,25.0,33.4,23.32449101796407,0.03,0.06,0.06,0.06,0.07,1.9161676646706587,4.910179640718563,0.8682634730538923,0.29940119760479045,0.029940119760479042
Matthijs de Ligt,nl NED,NED,DF,DEF,23.0,15.4,23.31194805194805,0.13,0.0,0.11,0.11,0.01,1.0389610389610389,6.363636363636363,0.38961038961038963,0.3246753246753247,0.0
Anthony Rouault,fr FRA,FRA,DF,DEF,22.0,11.2,23.277857142857147,0.0,0.18,0.01,0.01,0.07,0.7142857142857143,6.071428571428572,0.8928571428571429,0.26785714285714285,0.0
Mikel Vesga,es ESP,ESP,MF,MID,30.0,17.0,23.274117647058826,0.18,0.06,0.16,0.07,0.07,0.5882352941176471,5.176470588235294,1.7058823529411764,0.11764705882352941,0.0
Yunus Musah,us USA,USA,"MF,FW",FWD,20.0,16.4,23.263902439024392,0.0,0.12,0.04,0.04,0.08,2.9268292682926833,3.9024390243902443,4.695121951219512,0.30487804878048785,0.0
Kevin Volland,de GER,GER,"FW,MF",FWD,31.0,14.9,23.212483221476507,0.2,0.27,0.36,0.2,0.18,0.9395973154362416,3.221476510067114,6.442953020134228,0.20134228187919462,0.1342281879194631
Youri Tielemans,be BEL,BEL,"MF,FW",FWD,26.0,18.0,23.20222222222222,0.11,0.33,0.07,0.07,0.14,1.2777777777777777,7.111111111111111,2.5555555555555554,0.16666666666666666,0.0
Joe Scally,us USA,USA,DF,DEF,20.0,24.8,23.201612903225804,0.04,0.16,0.02,0.02,0.06,1.5725806451612903,3.0241935483870965,3.0241935483870965,0.16129032258064516,0.0
Jordan Ayew,gh GHA,GHA,"FW,MF",FWD,31.0,28.3,23.194770318021202,0.14,0.25,0.14,0.14,0.15,2.614840989399293,2.2261484098939928,6.113074204946996,0.31802120141342755,0.0353356890459364
Marc Cucurella,es ESP,ESP,DF,DEF,25.0,19.8,23.18828282828283,0.0,0.1,0.06,0.06,0.05,1.5656565656565655,2.525252525252525,3.686868686868687,0.5050505050505051,0.0
Sofyan Amrabat,ma MAR,MAR,"MF,DF",MID,26.0,10.4,23.186923076923073,0.0,0.0,0.01,0.01,0.03,0.5769230769230769,6.346153846153846,0.9615384615384615,0.5769230769230769,0.0
Hugo Magnetti,fr FRA,FRA,MF,MID,25.0,26.0,23.165384615384614,0.08,0.0,0.09,0.09,0.07,1.3846153846153846,3.8846153846153846,2.3461538461538463,0.23076923076923078,0.0
Facundo Pellistri,uy URU,URU,"MF,FW",FWD,21.0,13.7,23.134817518248177,0.15,0.07,0.18,0.18,0.09,2.408759124087591,1.6058394160583942,7.007299270072993,0.14598540145985403,0.07299270072992702
Joshua Zirkzee,nl NED,NED,FW,FWD,22.0,30.7,23.1264657980456,0.36,0.13,0.29,0.24,0.17,1.726384364820847,2.801302931596091,5.928338762214984,0.26058631921824105,0.0
Kévin Van Den Kerkhof,dz ALG,ALG,"FW,MF",FWD,27.0,21.3,23.113521126760563,0.05,0.09,0.07,0.07,0.16,3.051643192488263,1.3145539906103285,6.807511737089202,0.09389671361502347,0.0
Emre Can,de GER,GER,"MF,DF",MID,29.0,21.7,23.094147465437786,0.09,0.09,0.1,0.03,0.07,1.6129032258064517,5.0691244239631335,0.8294930875576038,0.2304147465437788,0.0
Ben Osborn,eng ENG,ENG,"DF,MF",MID,28.0,15.2,23.090000000000003,0.0,0.13,0.01,0.01,0.06,1.0526315789473684,3.618421052631579,2.8947368421052633,0.19736842105263158,0.0
Luca Waldschmidt,de GER,GER,"MF,FW",FWD,27.0,12.7,23.0748031496063,0.24,0.0,0.23,0.17,0.09,2.362204724409449,3.6220472440944884,4.803149606299213,0.0,0.0
Isaac Bernal,es ESP,ESP,FW,FWD,23.0,11.5,23.070434782608697,0.35,0.35,0.63,0.63,0.15,2.6956521739130435,1.391304347826087,5.565217391304348,0.17391304347826086,0.0
Waren Kamanzi,no NOR,NOR,"DF,FW",FWD,22.0,13.2,23.065454545454546,0.0,0.23,0.06,0.06,0.19,2.651515151515152,4.242424242424242,4.166666666666667,0.07575757575757576,0.0
Adam Webster,eng ENG,ENG,DF,DEF,28.0,12.7,23.04212598425197,0.0,0.0,0.03,0.03,0.01,1.2598425196850394,6.299212598425197,0.15748031496062992,0.15748031496062992,0.0
Florian Kainz,at AUT,AUT,"MF,FW",FWD,30.0,24.4,23.015409836065572,0.2,0.16,0.2,0.04,0.13,1.639344262295082,5.081967213114754,4.0983606557377055,0.1639344262295082,0.0
Aitor Ruibal,es ESP,ESP,"DF,FW",FWD,27.0,11.3,23.008407079646013,0.18,0.09,0.07,0.07,0.11,1.9469026548672566,4.778761061946902,4.424778761061947,0.44247787610619466,0.0
Nick Woltemade,de GER,GER,"FW,MF",FWD,21.0,13.2,22.992424242424246,0.15,0.0,0.18,0.18,0.13,1.590909090909091,3.257575757575758,6.0606060606060606,0.07575757575757576,0.0
Maximilian Wittek,de GER,GER,"DF,FW",FWD,27.0,11.9,22.972605042016806,0.25,0.08,0.11,0.11,0.11,1.4285714285714286,4.117647058823529,5.378151260504201,0.3361344537815126,0.0
Charlie Taylor,eng ENG,ENG,DF,DEF,29.0,25.9,22.971312741312744,0.04,0.04,0.01,0.01,0.05,1.38996138996139,3.1660231660231664,3.1274131274131274,0.3088803088803089,0.0
Valentín Castellanos,ar ARG,ARG,FW,FWD,24.0,18.7,22.941711229946527,0.21,0.16,0.39,0.39,0.09,0.8021390374331551,2.5133689839572195,7.058823529411765,0.10695187165775401,0.0
Arnaud Kalimuendo,fr FRA,FRA,FW,FWD,21.0,23.8,22.93113445378151,0.42,0.04,0.38,0.31,0.11,1.134453781512605,1.5546218487394958,7.605042016806722,0.25210084033613445,0.0
Neil El Aynaoui,fr FRA,FRA,MF,MID,22.0,17.4,22.891494252873564,0.06,0.11,0.14,0.14,0.05,1.4367816091954024,3.3908045977011496,2.528735632183908,0.0574712643678161,0.0
Carlos Vicente,es ESP,ESP,FW,FWD,24.0,12.4,22.854516129032255,0.16,0.32,0.19,0.19,0.3,1.8548387096774193,1.8548387096774193,6.612903225806451,0.08064516129032258,0.0
Neal Maupay,fr FRA,FRA,FW,FWD,26.0,14.7,22.847891156462584,0.41,0.2,0.39,0.39,0.16,1.4285714285714286,2.5170068027210886,6.190476190476191,0.54421768707483,0.0
Patrick Osterhage,de GER,GER,MF,MID,23.0,20.7,22.832222222222224,0.1,0.05,0.07,0.07,0.04,1.2560386473429952,3.0917874396135265,3.140096618357488,0.24154589371980678,0.0
Kevin Vogt,de GER,GER,DF,DEF,31.0,14.7,22.79108843537415,0.0,0.0,0.05,0.05,0.01,1.08843537414966,5.714285714285714,0.8163265306122449,0.1360544217687075,0.0
Felix Passlack,de GER,GER,DF,DEF,25.0,10.7,22.73915887850467,0.19,0.19,0.08,0.08,0.11,0.9345794392523366,2.5233644859813085,3.9252336448598135,0.1869158878504673,0.09345794392523366
