key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id_x,home_team_name,home_team_code,away_team_id_x,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw,match_dt,match_time_clean,elo_home,elo_away,elo_diff,home_team_id_y,home_points_last5,home_gd_last5,home_winrate_last10,home_concede_first_rate,home_points_after_concede_first,home_late_concede_rate_75p,home_rest_days,away_team_id_y,away_points_last5,away_gd_last5,away_winrate_last10,away_concede_first_rate,away_points_after_concede_first,away_late_concede_rate_75p,away_rest_days,underdog_is_home,y_upset_avoid_loss,y_home_win,y_draw,y_away_win,is_group_stage,is_knockout
1089,WC-2018,2018 FIFA Men's World Cup,M-2018-21,Denmark vs Australia,group stage,Group C,1,0,0,0,2018-06-21,16:00,S-155,Samara Arena,Samara,Russia,T-22,Denmark,DNK,T-04,Australia,AUS,1–1,1,1,0,0,0,0,0-0,0,0,draw,0,0,1,2018-06-21,16:00,1510.0,1490.0,20.0,T-22,3.0,1.0,1.0,0.0,1.0,0.0,5,T-04,0.0,-1.0,0.0,1.0,0.0,0.5,5,0,1,0,1,0,1,0
1090,WC-2018,2018 FIFA Men's World Cup,M-2018-22,France vs Peru,group stage,Group C,1,0,0,0,2018-06-21,20:00,S-159,Central Stadium,Yekaterinburg,Russia,T-30,France,FRA,T-56,Peru,PER,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,2018-06-21,20:00,1510.0,1490.0,20.0,T-30,3.0,1.0,1.0,0.0,1.0,0.0,5,T-56,0.0,-1.0,0.0,1.0,0.0,0.0,5,0,0,1,0,0,1,0
1091,WC-2018,2018 FIFA Men's World Cup,M-2018-23,Argentina vs Croatia,group stage,Group D,1,0,0,0,2018-06-21,21:00,S-152,Nizhny Novgorod Stadium,Nizhny Novgorod,Russia,T-03,Argentina,ARG,T-18,Croatia,HRV,0–3,0,3,-3,3,0,0,0-0,0,0,away team win,0,1,0,2018-06-21,21:00,1500.0,1510.0,-10.0,T-03,1.0,0.0,0.0,0.0,1.0,0.0,5,T-18,3.0,2.0,1.0,0.0,1.0,0.0,5,1,0,0,0,1,1,0
1092,WC-2018,2018 FIFA Men's World Cup,M-2018-24,Brazil vs Costa Rica,group stage,Group E,1,0,0,0,2018-06-22,15:00,S-154,Krestovsky Stadium,Saint Petersburg,Russia,T-09,Brazil,BRA,T-17,Costa Rica,CRI,2–0,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0,2018-06-22,15:00,1500.0,1490.0,10.0,T-09,1.0,0.0,0.0,0.0,1.0,0.0,5,T-17,0.0,-1.0,0.0,1.0,0.0,0.0,5,0,0,1,0,0,1,0
1093,WC-2018,2018 FIFA Men's World Cup,M-2018-25,Nigeria vs Iceland,group stage,Group D,1,0,0,0,2018-06-22,18:00,S-158,Volgograd Arena,Volgograd,Russia,T-50,Nigeria,NGA,T-37,Iceland,ISL,2–0,2,0,2,-2,0,0,0-0,0,0,home team win,1,0,0,2018-06-22,18:00,1490.0,1500.0,-10.0,T-50,0.0,-2.0,0.0,1.0,0.0,0.0,6,T-37,1.0,0.0,0.0,1.0,1.0,0.0,6,1,1,1,0,0,1,0
1094,WC-2018,2018 FIFA Men's World Cup,M-2018-26,Serbia vs Switzerland,group stage,Group E,1,0,0,0,2018-06-22,20:00,S-148,Kaliningrad Stadium,Kaliningrad,Russia,T-66,Serbia,SRB,T-75,Switzerland,CHE,1–2,1,2,-1,1,0,0,0-0,0,0,away team win,0,1,0,2018-06-22,20:00,1510.0,1500.0,10.0,T-66,3.0,1.0,1.0,0.0,1.0,0.0,5,T-75,1.0,0.0,0.0,1.0,1.0,0.0,5,0,1,0,0,1,1,0
1095,WC-2018,2018 FIFA Men's World Cup,M-2018-27,Belgium vs Tunisia,group stage,Group G,1,0,0,0,2018-06-23,15:00,S-151,Otkritie Arena,Moscow,Russia,T-06,Belgium,BEL,T-79,Tunisia,TUN,5–2,5,2,3,-3,0,0,0-0,0,0,home team win,1,0,0,2018-06-23,15:00,1510.0,1490.0,20.0,T-06,3.0,3.0,1.0,0.0,1.0,0.0,5,T-79,0.0,-1.0,0.0,1.0,0.0,0.5,5,0,0,1,0,0,1,0
1096,WC-2018,2018 FIFA Men's World Cup,M-2018-28,South Korea vs Mexico,group stage,Group F,1,0,0,0,2018-06-23,18:00,S-153,Rostov Arena,Rostov-on-Don,Russia,T-71,South Korea,KOR,T-46,Mexico,MEX,1–2,1,2,-1,1,0,0,0-0,0,0,away team win,0,1,0,2018-06-23,18:00,1490.0,1510.0,-20.0,T-71,0.0,-1.0,0.0,1.0,0.0,0.0,5,T-46,3.0,1.0,1.0,0.0,1.0,0.0,6,1,0,0,0,1,1,0
1097,WC-2018,2018 FIFA Men's World Cup,M-2018-29,Germany vs Sweden,group stage,Group F,1,0,0,0,2018-06-23,21:00,S-157,Fisht Olympic Stadium,Sochi,Russia,T-31,Germany,DEU,T-74,Sweden,SWE,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,2018-06-23,21:00,1490.0,1510.0,-20.0,T-31,0.0,-1.0,0.0,1.0,0.0,0.0,6,T-74,3.0,1.0,1.0,0.0,1.0,0.0,5,1,1,1,0,0,1,0
1098,WC-2018,2018 FIFA Men's World Cup,M-2018-30,England vs Panama,group stage,Group G,1,0,0,0,2018-06-24,15:00,S-152,Nizhny Novgorod Stadium,Nizhny Novgorod,Russia,T-28,England,ENG,T-54,Panama,PAN,6–1,6,1,5,-5,0,0,0-0,0,0,home team win,1,0,0,2018-06-24,15:00,1510.0,1490.0,20.0,T-28,3.0,1.0,1.0,0.0,1.0,0.0,6,T-54,0.0,-3.0,0.0,1.0,0.0,0.5,6,0,0,1,0,0,1,0
